seq_len,strategy,budget,n_sink,ppl,ppl_ratio
256,baseline,256,0,3.1413161754608154,1.0
256,recency_only,32,0,135.91151428222656,43.265786278991484
256,sink_1_recency,32,1,135.91151428222656,43.265786278991484
256,sink_4_recency,32,4,135.91151428222656,43.265786278991484
256,recency_only,64,0,87.9290771484375,27.991157921420864
256,sink_1_recency,64,1,118.0705337524414,37.5863259721448
256,sink_4_recency,64,4,159.85092163085938,50.88660698326874
256,recency_only,128,0,10.316060066223145,3.2839929157114627
256,sink_1_recency,128,1,11.904404640197754,3.789623194631606
256,sink_4_recency,128,4,13.619513511657715,4.335607354028857
512,baseline,512,0,1.8002725839614868,1.0
512,recency_only,32,0,236.6199951171875,131.43564881519603
512,sink_1_recency,32,1,259.8820495605469,144.35705563469634
512,sink_4_recency,32,4,281.6654052734375,156.4570875448399
512,recency_only,64,0,80.81547546386719,44.890688323450064
512,sink_1_recency,64,1,80.81547546386719,44.890688323450064
512,sink_4_recency,64,4,80.81547546386719,44.890688323450064
512,recency_only,128,0,10.242793083190918,5.6895789973381286
512,sink_1_recency,128,1,11.663661003112793,6.478830543231954
512,sink_4_recency,128,4,11.53603744506836,6.407939301993586
512,recency_only,256,0,3.3454060554504395,1.8582775104472777
512,sink_1_recency,256,1,3.398369789123535,1.8876973517229525
512,sink_4_recency,256,4,3.69075345993042,2.050108129630538
1024,baseline,1024,0,1.3522008657455444,1.0
1024,recency_only,32,0,231.28863525390625,171.0460635790111
1024,sink_1_recency,32,1,293.48248291015625,217.0405968112902
1024,sink_4_recency,32,4,373.8076477050781,276.4438754437396
1024,recency_only,64,0,89.96018981933594,66.5287178097877
1024,sink_1_recency,64,1,123.73001861572266,91.50269146404024
1024,sink_4_recency,64,4,158.9243927001953,117.53016635777064
1024,recency_only,128,0,9.38784122467041,6.942638081727869
1024,sink_1_recency,128,1,9.38784122467041,6.942638081727869
1024,sink_4_recency,128,4,9.38784122467041,6.942638081727869
1024,recency_only,256,0,3.2232625484466553,2.3837157852058386
1024,sink_1_recency,256,1,3.399643659591675,2.514155807552497
1024,sink_4_recency,256,4,3.703646421432495,2.738976519875593
